takeoff,takeoff_no,landing,duration,distance,competitors_no,result_place,date,desc,max_alt,max_lift,glider
Lijak,1,"",173,28000,4tekmovalci,1mesto_int,"1997-10-25",Tekma Lijak,Skabrijel,Lijak,Zm.Rampa,kolikor gre dalec-pristanek Picerija Anja,1233,2.9,rox
Planina-Stolp,1,"",16,-nan,null,null,"1997-10-30",Pes na Planino potem pa let domov,850,1,rox
Razpadalica HR,1,"",162,-nan,null,null,"1997-10-31",Super jadranje na Buzetu termika po celem grebenu,1150,3.5,rox
SV.Jelena HR,1,"",5,-nan,null,null,"1997-11-01",Prosti met z policastega hriba start na eni od polic,null,null,rox
Razpadalica HR,1,"",68,-nan,6tekmovalcev,5mesto_int,"1997-11-01",Prvi obrnil obratno tocko in imel pred drugimi na drugi veliko prednost a scuru ker sem soliral in napravil napako,1075,4,rox
Razpadalica HR,1,"",64,-nan,6tekmovalcev,5mesto_int,"1997-11-01",Prvi obrnil obratno tocko in imel pred drugimi na drugi veliko prednost a scuru ker sem soliral in napravil napako,1075,4,rox
Strmca,1,"",5,-nan,null,null,"1997-11-09",Korenov Tension Zvecer ko se niti obtdzat ni vec dal na grebenu s-total mir sem se odpeljal v dolito nad dolino pa mi ga je samo zaprlo vec kot polovica Takoj sem ga kontriral ko sem ga pogledal sploh ni nic skocil v smeri zaprte smeri pa tudi obratno ne nekaj sekund za tem pa je skocil v negativo po nekaj obratih je stvar spet normalno spelala-Hvaljen bodi bog na visavah.,null,null,airea tension
Strmca,1,"",5,-nan,null,null,"1997-11-13",Merjenje finese Tamoj, Neon, Rox,null,null,Tamoj
Lijak N.G.,1,"",123,28500,7tekmovalcev,2mesto_int,"1997-11-14",Tekma Rampa-KrizisceSkabrijel-SV.Marija-Vijadukt Jezero-Uradni Pristanek cilj,2065,4.5,rox
Zbevnica HR,1,"",7,-nan,null,null,"1997-11-15",Let z Zbevnice v dezju Nov start Para safari v ujmi,null,null,rox
Planina Stolp,1,"",71,-nan,null,null,"1997-11-16",Jadranje na Planini na veter -zima prihaja,830,1,rox
Zavrh,1,"",51,-nan,null,null,"1997-11-18",Jadranje na Zavrhu visina 1200 in2m/s dviganja v prste me pa je zebl za stran past,1200,2.5,rox
Planina Stolp,1,"",27,-nan,null,null,"1997-11-19",Jadranje na Planini Erzo ni mogel odletet ko sem pristal je tudi on odletel,820,1.5,rox
Kovk,1,"",7,-nan,null,null,"1997-11-20",Let z kovka,null,null,rox
Planina Stolp,1,"",5,-nan,null,null,"1997-12-03",Pes na planino potempa v nulci let v dolino,null,null,rox
Zavrh,1,"",70,-nan,null,null,"1997-12-04",Jadranje okoli Zavrha -Slavc Erzo Jaz pristali smo pri Andreju za bajto,850,1.5,rox
Lijak,1,"",104,-nan,null,null,"1997-12-06",Jadranje na Lijaku in skoraj na rampi kjer sem bil zelo nizek kasneje sem bil skoraj ves cas najvisji letel sem z gregatovim nimbusom on pa s tamojem on je nazalost scuru,1090,2.5,nimbus
Planina Stolp,1,"",5,-nan,null,null,"1997-12-13",Letenje s Planine Erzo jaz Andrej pa ni uspel startati,null,null,rox
Lijak,1,"",120,22000,6tekmovalcev,2mesto-int,"1997-12-13",Disciplina Pilon Lijak - Kucl na Cavnu - Vrh Danijaela -Cilj Start Lijaka Bil sem drugi z nekoliko nesrece namrec nek Igor se je zaletel v mene in sva strmodlavla pod start.,1420,2.5,rox
Srednji Vrh,1,"",30,-nan,null,null,"1997-12-20",Jadranje na vetr okoli srednjega vrha nakarse je naredila baza in sem moral jadrati zunaj in pod njo,null,1,rox
Lijak,1,"",115,-nan,null,null,"1997-12-27",Letenje iz Lijaka na Kucl nazaj na Lijak. Rahu vzhodnik.,1650,2.5,rox
Lijak,1,"",26,-nan,null,null,"1997-12-28",Matranje pod startom pobiranje 30 metrov iznad bajte. Pobral sem petsto metrov potem pa spet u podn.,null,1,rox
Lijak,1,"",45,-nan,null,null,"1997-12-28",Matranje pod startom pobiranje 30 metrov iznad bajte. Pobral sem petsto metrov potem pa spet u podn.,null,1,rox
Kovk,1,"",30,-nan,null,null,"1997-12-29",Start v megli jadrali pa smo zunaj in ob grebenu proti predmeji.,null,null,rox
Gozd,2,"",12,-nan,null,null,"1997-12-31",Merjenje finese na gozdu Andrejev padal je dvakrat zmagal-dvakrat sem najdlje letel Po meritvi izracunana finesa 1:7,null,null,rox
Kovk,1,"",75,-nan,null,null,"1998-01-03",Megla jadranje ob grebenu letenje do predmeje in nazaj Letel sem z lezecim zicom in se mi je zdel super. Kva bi blo v termiki je pa drug vprasanje.,900,1,rox
Slivnica,1,"",5,-nan,null,null,"1998-01-09",Rahu vzgornik let v dolino 11. 1.98 smo sli na mrzlico odletel je le Grega kasneje je mocno pojacal splosni veter,null,null,rox
Lijak,1,"",120,-nan,null,null,"1998-01-13",Super termika mocna -Let na kucel in nazaj veliko zapiranj zelo zelo razbito- pomladansko-Andrej je na zalost imel nesreco poskodoval se je po tem ko mu je zaprlo padalo in je slo do tal,1450,4,rox
Lijak,1,"",130,-nan,null,null,"1998-01-23",Tekma zimske lige pilon na rampi-danijel-rampa-lijak Disciplino je opravil le Juri jaz in Jernjej sva pristala na pristanku. Tekma je neregularna ker smo pilon obrnili le trije. Na rampi je pihala burja in je bilo precej divje. Jernej je pravi divjak - v turbolenci tisci gas do konca.,1386,4.3,rox
Zavrh,1,"",83,-nan,null,null,"1998-01-24",Slavc Erzo in jaz smo jadrali na veter z termiko. Slavc je pristal pri vojasnici, jaz in Erzo pa doma.,965,3.5,rox
Sekirca,1,"",1,-nan,null,null,"1998-01-25",Jadranje nad pobocjem- na pristanku vingoverji zafrkancija z Atlasom,550,1.7,rox
Zavrh,1,"",46,-nan,null,null,"1998-01-26",Tone je obesu, Slavc in jaz sva jadrala na grebenu in pristala na Vrhniki.,980,2.2,rox
Zabocevo,2,"",15,-nan,null,null,"1998-01-27",Testiranje in ucenje uporablanja varija in GPSa. Curjenje.,null,null,rox
Zabocevo,1,"",15,-nan,null,null,"1998-01-28",Zabocev ze skoraj dela jadranje izkljucno na termiko.,766,1.7,rox
Kovk,1,"",47,-nan,null,null,"1998-01-29",Letenje na veter brez pobiranja. Samo vozil smo se. Z mrakom smo vsi Jaz, Grega, Erzo, Jernej pristali na startu.,1143,1.5,rox
Grmada-DobroP,1,"",51,-nan,null,null,"1998-01-31",Smotan start k svina. Mice je potrgal 1/3 komand. Jadranje na grebenu. Prvi polet z Orange Nimbusom RC.,1096,3.6,nimbus
Gozd,1,"",50,-nan,null,null,"1998-02-01",Termicno jadranje super za trening. Precej zajeban + neuletenost novega padala.Treba bo uletet motanje s tem padalom.,1177,2.9,nimbus
Strmca,1,"",5,-nan,null,null,"1998-02-02",Vzlet in pristanek na strmci rahu veter-za scurt.,null,1,nimbus
Gozd,1,"",86,-nan,null,null,"1998-02-04",Prvi sem vzletel z Mihatom sva letela proti predvoru. V tretjem poizkusu sem pobral v tolstem inse odpeljal pod storzic kjer sem jadral dokler je bilo kaj termike. Se nekateri so poizkusali vendar ni nihce pobral v tolstem nobenga ni blo za mano. Pocas pridobivam obcutek za letenje s tem padalom.,1297,3.6,nimbus
Gozd,1,"",74,-nan,null,null,"1998-02-05",Jadranje -diagonalno zaprtje- treba bo uletet to padalo.Diagonalno zaprtje-odprt je ostal samo uhelj.,1250,3.6,nimbus
Lijak,2,"",151,44500,null,null,"1998-02-06",Drugi v zraku-curjenje. Drugic Nanos Heronim-Anja -Ajdovscina.Slab obcutek.,1352,5.3,nimbus
Zavrh,2,"",13,-nan,null,null,"1998-02-07",Merjenje polare ; Spiralce ; letenje v dolino; skoraj dotikz uhlom po tleh.Spet nekoliko bolsi obcutek.,null,0.4,nimbus
Planina-Stolp,1,"",5,-nan,null,null,"1998-02-08",Let z Stolpa start iz prve, Erzo pa ni startal.,null,null,nimbus
Strmca,2,"",108,-nan,null,null,"1998-02-10",Strmicarjenje :Juri, Grega, Erzo,jaz in drugi.Ko me ruka imam zelo slab obcutek.,950,1,nimbus
Strmca,2,"",40,-nan,null,null,"1998-02-11",Strmicarjenje. Ce ni druzga!?,950,1.5,nimbus
Gozd,2,"",123,-nan,null,null,"1998-02-13",Prvic je precej shejkal tako da sva imela po eni uri zadost. Z Gregatom sva pristala na vrhu in sla na pir. Potem sva sla ponovno u zrak. Jaz sem pobral do grebena krizke in se odpeljal v dobrco . Tu sem pobral nad zmajarsko rampo in se odpravil nazaj Nad Krizami pa me je navpicno odplaknil na tla. Super filing glede padala. Pocas ga bom uletel.,1330,4.1,nimbus
Gaber,1,"",10,-nan,null,null,"1998-02-14",Curjenje samo Slavc je jadral eno uro.Se en dokaz da se moram uletet.,null,0.5,nimbus
Ambroz1,1,"",10,-nan,null,null,"1998-02-15",Zelo mocan zahodnik potem pa je spustilo tako da smo odleteli nekoliko celo pojadrali in pristali pod Grajcem.,null,1,nimbus
Zabocevo,1,"",110,-nan,null,null,"1998-02-17",Super jadranje termika - odprtje starta za leto 1998. V zraku smo bili Juri, Jaz, Grega, Erzo, Jernej, Slavc, Simeon.Dober obcutek na padalu - zapiranja. Samo v premetavanju se moram sprostit.,1040,3.3,nimbus
Kovk,1,"",55,-nan,null,null,"1998-02-18",Z starta do predmeje in nazaj. Slavc je peljal Aljaza. Pristal sem na startu.Problemi z gasom. Spet sem sproscen na padalu.,1088,4.1,nimbus
Zabocevo,1,"",84,-nan,null,null,"1998-02-19",Super jadranje :Bostjan, Slavc,Jaz, Erzo, Tomaz, Jernej, Grega.Super obcutek-gas je v redu-samose instrumente montirat in polarao posnet.,1360,3.5,nimbus
Gaber,3,"",102,-nan,null,null,"1998-02-20",Super jadranje -pobiranje iz tal -pristajanje na startu. Slavc,Erzo Jernej,Mojca, Jaz,Sterovc,Dusan...-Ozki stbri, treba je blo delat.Uredu obcutek glede pobiranja,zapiranja, rukanje- tudi wingoverji so bili pravi.,522,2.9,nimbus
Lesno brdo,2,"",10,-nan,null,null,"1998-02-21",Jugo zahodnik Grega in Jaz sva nekej jadrala.,null,1,nimbus
Lijak,1,"",7,-nan,null,null,"1998-02-21",Grega Miha in jaz smo se vrgl dol.,null,null,nimbus
Zavrh,1,"",75,-nan,null,null,"1998-02-24",Super termika. Jadranje na grebenu Trebevnik-Javorc. Erzo Slavc Jaz,Tiln, Bostjan pa je scuru v kosu.,1270,4.6,nimbus
Samotorca,1,"",7,-nan,null,null,"1998-02-25",Erzo in Grega sta jadrala pol ure in scurla tocno takrat ko sem sej tudi jaz v zrak. Skupaj smo scurli. Po startu me je precej zvijalo veter z leve.,null,null,nimbus
Ambroz,1,"",109,-nan,null,null,"1998-02-26",Juri Miha Jaz. Start 14:00 Juri Suster in Miha ter drugi so scurili tako da sem nekaj casa edini bil v zraku. Odpeljal sem se do roba kalskega grebena vendar sem se vrnil ker nisem imel pospesevalca.,1937,4.6,nimbus
Kovk,1,"",45,-nan,null,null,"1998-02-27",Pika tekma pristal sem v notranji krog. Skupno smo zasedli 3.mesto,null,null,nimbus
Gozd,1,"",110,-nan,null,null,"1998-03-05",Prvic letos na 2000 -1900 nad Zadrago na ravnini. Storzic pa nisem pobral nad njega. stbri so bili sipki in ozki.Super samo izhod iz Bstalla je bil slab. Padalo mi je ostalo v prevlecenem letu.,2044,4.8,nimbus
Gozd,3,"",75,-nan,null,null,"1998-03-06",Lijak mocno na Gozd smo prisli ob pol stirih. Startali smo na gozdu pobrali na krizko odleteli do Storzicain nazaj, pristali na Krizki. Potem pa sli ponovno v zrak in pristajali tuch and go med Krizko in Tolstim. Potem smo odleteli na Gozd.Gas moram postimat. Super razgled Storzic v snegu z padalci.,2035,4.6,nimbus
Zabocevo,1,"",65,-nan,null,null,"1998-03-10",Rotorji - Slavc je pred 1no uro odletu v Hrusevje.Premetavanje klofanje uglavnem dober trening. Erzo 11m/s dviganja.Zelo pestro.,1700,6.2,nimbus
Zabocevo,1,"",90,15000,null,null,"1998-03-12",Po enournem jadranju smo odplanirali iz 2500 v Ljubljano k Juriju domov. Na zabocevem smo bili Grega, Erzo, Juri,Jaz. Z Ilirske bistrice pa so prileteli Mega in Herman. Pristala sta na Pokojiscu.Koncno mam filing na tem padalu.,2580,5,nimbus
Gozd,1,"",80,-nan,null,null,"1998-03-13",S slavcem sva sla do potoske in nazaj. S Slavcem sva pristala na Krizki.,1935,4.4,nimbus
Krizka,1,"",30,-nan,null,null,"1998-03-13",Vzlet s krizke fajtanjeza  visino -uspeh in pristanekna Senicnem po tekmi za Svoletovga prasca. Zmaga Simeon, drugi je bil Bostjan, Skupno smo zmagali.,1477,2.4,nimbus
Zabocevo,1,"",150,-nan,null,null,"1998-03-16",Jadranje po celi dolini vojasnica-planinca. Nad greben se ni dalo vsaj za dlje casa ne. Slavc, jaz,Erzo,Dusana,Logacani.,1000,3.2,nimbus
Zabocevo,1,"",110,-nan,null,null,"1998-03-17",Zelo svoh inpa ozki stbri. Prvi sem pobral na na 1400 in se odpeljal do konca doline. Ker se nisem pobral semse vrnil do krimsckain se zapeljal v njegovo zavetrno stran. Pihal je Seveozahod. Tu sem dobil batino do 2000m ze drugic sem vse nabil.Po tem sva s slavcem odletela. Jaz sem letel proti kocevju s hitrostjo 50 kmH in proti bazam. Nad Blokami pa je baz zmanjkalo in vrnil sem se za slivnico kjer sem se pobiral potem pa sem pristal pri Jerneju. Jimmi je pristal v Rakeku.,1990,4.9,nimbus
Lijak,1,"",45,-nan,null,null,"1998-03-21",Italjanska tekma slavc sedmi. Jaz pa sem bezal izpod oblaka.Z gregatom sva zajebala mogoce najlepso moznost za odletet na buzet.,1943,8.2,nimbus
Zavrh,1,"",61,-nan,null,null,"1998-03-25",Precej mocan veter je ob3h nekoliko pojenjal in z erzotom sva letela na Zavrhu pristala sva na stari vrhniki.,1214,2.8,nimbus
Ambroz,1,"",205,49430,null,null,"1998-03-26",Erzo je napovedal KGora jaz pa Ratece. Erzo je pristal v Begunjah jaz pa v Dovjem.,1810,4.8,nimbus
Ambroz,1,"",188,40000,null,null,"1998-03-27",Napoved Ratece Obrnu sem Valvazorja in pristal v Begunjah. Dones sem bil plazilec z jurijem sva se plazil po tleh in dirkala. Nekajkrat je malo manjkalo da bi scurla.Rabmo samo malo lepsi dan pa ratece padejo za salo.,1832,5.1,nimbus
Ambroz,1,"",194,57300,null,null,"1998-03-28",Poizkus trikotnika. Precej razbito ozracje in zato sva z gregatom letela proti Ratecem Grega je pristal v jesenicaj jaz pa Vgozdu mrtuljek kjer me je rikvercal.Gorenske imam za nekej casa zadost. Vtreh dneh sem naletel devet ur.,1933,5.7,nimbus
Ambroz,1,"",65,-nan,null,null,"1998-03-31",Matranje poed startom.,1000,2,nimbus
Strmca,1,"",71,-nan,null,null,"1998-04-08",Strmicarjenje z termiko. Zapiranja pri polnemgasu.Zapiranja pri polnemgasu zadeva se je lepo obnasaloa.,1200,3.2,nimbus
Gaber,1,"",37,-nan,null,null,"1998-04-10",Plohe nevihte v notranjosti tu pa veliko stbrov precej mocan veter veliki oblaki tako da smo sli vsi namenoma pristat ker so bile cudne razmere.,500,3.5,nimbus
Lijak,1,"",176,35000,68,12,"1998-04-18",Prva liga tekma skoz sem bil v vodilni skupini napaka na cavnu tu sem zaostal in sel slikat Ravne problem pa je bil potem pobrat. Obratna288 jaz pa sem se pobral iz 300m teren zelo polozen tako da sem imel obilo problemov. Od raven nazaj sem skoz pomalem tiscal gas in ujev Mihata. Zmagal je Jocif drugi Suster tretji Novak. Vcil nas je prislo 16 jaz sem dvanajsti vendar pa jih je ogromno zajebalo slikanje tako da bo rezultat zanimiv.,1368,7,nimbus
Zavrh,2,"",70,-nan,null,null,"1998-04-21",Hladna fronta vse je drzal cetudi je bilo vse pod oblaki.,1200,3.5,nimbus
Zavrh,1,"",105,-nan,null,null,"1998-04-22",Peglanje na trebevniku.,900,1.5,nimbus
Buzet,1,"",96,-nan,null,null,"1998-04-24",Jerry je sel do ucke. Sma sem se vozil zunaj in sem pobral tako da sem pristal na startu. Bilo je zelo veliko zapiranj (oblakov) tako da ce si hotel biti visoko si moral imeti sreco da si namotal pod crno bazo potem pa je drzalo kljub zapiranjem. Erzo 2100m.,1386,4.8,nimbus
Buzet,1,"",111,-nan,null,null,"1998-04-25",Erzo v pazin Grega na ucko jaz pa na lupoglav. Super dviganja super letenje lepe baze na1800m. Erzo izkoristu en grd oblak katerega sem jaz zajebal potem pa tako mocan pis da je slo komaj naprej. Karlo je imel neko pizdarijo v okolici starta z cultom.,1822,4.5,nimbus
LicMali,1,"",19,-nan,null,null,"1998-04-30",Jadranje na Licu.,953,1.9,nimbus
LicVeliki,1,"",45,-nan,null,null,"1998-04-30",Jadranje na zgornjrm licu precej mocan veter in grdi oblaki.,1182,2,nimbus
LicMali,1,"",15,-nan,null,null,"1998-05-01",Pes na mali lic grdi oblaki zgori zauga odspodi je bilo razrukan.,918,2.6,nimbus
Gozd K.G.,1,"",117,36310,null,null,"1998-05-02",Na ambrozu mocan veter ni bilo za it v zrak. Na krizki pa super Jaz sem sel se z nekaterimi do Jakoba na Potoski potem pa na Drazgosko goro in nazaj vGovice. Grega v zeleznike, Miha v Bohinjsko Belo.Ker je bil na 1900m mocan veter in je imel grega v najsirsem delu doline tezave nisem odletel proti tolminu ker bi imel v grapah velike tezave. Mocan veter.,1960,5.8,nimbus
Zavrh,1,"",65,-nan,null,null,"1998-05-04",Slavc je scuru erzo je scuri JJaz sem jadral eno uro na termiko potem pa je scuru pred mano se Logacan.,1202,2.6,nimbus
Zabocev,2,"",15,-nan,null,null,"1998-05-05",Prekrivanja sranje ce si nizek. Bostjan je bil visoko in ga prekritja niso motila.,null,null,nimbus
Golte,1,"",174,-nan,null,null,"1998-05-07",Trening za dirko,2576,5,nimbus
Golte,1,"",91,-nan,70,39,"1998-05-08",Dirka nazacetku mi ni slo potem sem ujel vodilne in el med prvimmi cez golte pobral eden redkih v neki zaajedi potem pa so se kar vozil cez mene.Disciplina: Golte, Sv Kriz, Marker, Crnivc, Malic, Mozirje,2058,5.3,nimbus
Golte,1,"",36,-nan,70,0,"1998-05-09",Cist zajebal dirko erzo je bil petiDisciplina: Golte,svKriz, marker,topolscica,okanina,sv kriz,Mozirje.,1991,4.3,nimbus
Ambroz,1,"",222,68000,null,null,"1998-05-10",Start ob treh v eni uri na stolu potem pa je kazalo precej slabo vse do ratec srecal padalca in zmajarja, zmajar je priletel z lisce, jaz in zmajar ta dan edina v Ratecah.Prvi uresnicen od zastavljenih.,2453,6.1,nimbus
Priznica,1,"",50,-nan,null,null,"1998-05-11",Cudn veter cez greben slabo prebijanje termike. Nad startom sem navil na 1570 in odletel na zavrh.,1570,5.4,nimbus
Ambroz,1,"",77,-nan,null,null,"1998-05-14",Oblake je mocno neslo s sevea vendar se ga ni cutilo Juri prvi potem jaz nato pa se ostali.,2237,5.2,nimbus
Zavrh,1,"",59,-nan,null,null,"1998-05-15",Mocan veter od spodi tud mal razrukan, Bostjan Dusan in mojca so kmalu pristali jaz in slavc pa sva ga zmotala na in sva skoraj potegnila v logatec.,1545,3.7,nimbus
Lijak,1,"",30,-nan,null,null,"1998-05-16",Burja cez lijak se je4 umirila termika je prebila in grega in jaz sva odletela. Ker se je blizala ploha sva sla pristat.,900,2,nimbus
Lijak,1,"",150,35000,null,null,"1998-05-20",Ujel nas je zahodnik lahko bi odletel na nanosu cez vendar so me ostrasili napovedali pa smo pivko. Vendar pa smo od nanosa tako hitro zgubili visino da smo pristali v hrusevju.Mega je sel na Nanosu cez tako kot sem jaz mislu in je naredil 51km,2140,5.5,nimbus
Marela Kisovc,1,"",35,-nan,null,null,"1998-05-22",Vsi so curili sele jaz sem dobil dviganje potem smo pa vsi zaceli jadrati.,1066,2.9,nimbus
GEos nad Litijo,1,"",8,-nan,null,null,"1998-05-22",Se en nov start.,null,null,nimbus
Zabocevo,1,"",151,31080,null,null,"1998-05-25",Jaz erzo sva odlezela v pivko za nama pa je priletel se grega. Nad pivko sem jadral se pol ure in pobral 500m nato pa se odpeljal proti veru par vasi naprej.Pri polnem gasu mi ga je parkrat sesulo vendar nisem imel pri temu nobenih tezav. Sedaj imam cez sto toc v XCju.,2317,5.2,nimbus
Gozd,1,"",8,-nan,null,null,"1998-05-28",Z Jurijem sva sla na gozd a so bila velika prekrivanja.,null,null,nimbus
Vremscica,2,"",220,-nan,null,null,"1998-05-29",Supr jadranje voznja skozi baze, gas do konca, testiranje sektor protoja,1268,4.9,Sektor
Gozd,1,"",156,38440,70,10,"1998-05-30",Tekma za ligo na Gozdu. Vidu sem se na petem mestu vendar so me nekateri prehiteli v cilnem doletu. isciplina:Gozd- Kalisce-GozdMarker-Godic pod velko planino. Od Markerja smo tiscali proti godicu in v mes nismo nic motali. Bila je zelo hitra dirka.Dobri so bili tisti ki se ga upajo bolj tiscat. Nimbus je pocasen.,2022,4.8,nimbus
Lijak,1,"",50,-nan,null,null,"1998-06-03","",1283,4.3,nimbus
Lijak,1,"",153,74200,null,null,"1998-06-03",Na lijaku smo napovedal sodrazico potem pa sva z jurijem odletela dovasi cez grosuple. Miha je tudi pristal tam nekje erzo pa na postojni.,1984,5,nimbus
Kobala,1,"",180,49600,null,null,"1998-06-04",Poizkus trikotnika slikal sem samo prvo obratno potem pa mi je crknu fotlc. Juri in jernej sta sla na svinak in imela tezave jaz pa sem sel na polovnik in nazaj pristal sem na kobali.,2000,4,nimbus
Kob.stol,1,"",260,82000,70,9,"1998-06-05",Od 24 sem prisel v cilj 9. od 70tih tekmovalcev. Disciplina:Kstol-Kuk-Kostnica-Krob-Dreznica-Volarje-Cilj.,1600,5.1,nimbus
Kob.Stol,1,"",60,-nan,70,okol25,"1998-06-06",Z malo srece bi lahko zmagal vsi v prvi skupini smo od prve obrane samo se planirali ker je bilo vse pokrito. kasneje se jih je pripeljalo cezme se veliko.Disciplina:Start Kstol- Most na soci tolmin- trd-dreznica-kobala pristanek.,1600,3,nimbus
Zabocevo,1,"",51,-nan,null,null,"1998-06-08",Jaz sem odletel prvi na priznci in sem na tem koncu danes edini jadral. Erzo je scuru. Grega in Miha pa nist mogla startat.,1250,2.9,nimbus
Lijak,1,"",144,-nan,null,null,"1998-06-09",Napoved Lijak Trebnje. Jaz Erzo in Miha smo leteli do vipave tam pa je bil mocan jugo-jugovzhod tako da smo cisto nisko komaj zrinl za greben potem pa se je pokazalo sonce in spet smo pobrali nazaj na visino grebena. Zrinla sva se do table potem pa sva se odpeljala na sredo doline in zacela vrtet mocne stbre. Od tu sem odletel nazaj proti kovku in pobral tako da bi lahko odletel naprej. Vendar pa sem imel dovol zato semsel pristat k Anji.,1599,5.2,nimbus
Strmca,1,"",5,-nan,null,null,"1998-06-11",Polara ,neugodne razmere.,null,null,nimbus
Sr.Vrh,1,"",5,-nan,null,null,"1998-06-12",12. 6. koncert potem 13. 6. letenje v Il.Bistrci.,null,null,nimbus
Kovk,1,"",69,-nan,null,null,"1998-06-14",Erzo Juri sta scurla na razdrtem. Jaz in Miha pa sva nizko komaj pobrala da sva prisla do Hrasc pred postojno. Grega  se je od odzad pripeljal na Strmco. Iz strmce je Erzo odletel v Rakitno.,1690,5.9,nimbus
Strmca,1,"",20,-nan,null,null,"1998-06-14",Miha in jaz sva snemala padal z borovcev. Erzo pa je odletel v Rakitno.,null,2,nimbus
Zabocevo,1,"",77,-nan,null,null,"1998-06-17",Jadranje okoli zabocevga. Razo Erzo Jaz Andrej je bil po dplgem casu na startu Rus Bostjan.,1375,4.5,nimbus
Drazgose,1,"",145,-nan,null,null,"1998-06-19",Napoved zaga s povratkom. Zaradi zahodnika nemogoce smo pa prileteli v ratitovec.,1895,4.6,nimbus
Zabocevo,1,"",96,-nan,null,null,"1998-06-23",Jadrali smo po bazah v logatcu se naredi nimbus. Pristali smo v rakitni vingoverji!!,1780,4.7,nimbus
Gozd,1,"",20,-nan,null,null,"1998-06-24",Scurl smo erzo grega in jaz ter ostali.,920,2,nimbus
Ambroz,1,"",47,-nan,null,null,"1998-06-24",Jadal smo okoli ambroza dvakratt sem bil v bazi potem pa sem pristal na jezercih.,1718,3.5,nimbus
Priznca,1,"",116,-nan,null,null,"1998-06-25",Priznca jadranje planina - vojasnica. Let v podpec.,1869,4.6,nimbus
Krizka,1,"",108,-nan,70,24,"1998-06-26",Zelo cudni stbri po vecini svoh tezko nabrat visino. Zqapiranja nekateri so scurili iz1700.,1495,3.7,nimbus
Krizka,1,"",66,-nan,70,null,"1998-06-27",Kljub slabim pogojem se nam je uspelo obdrzati in sem imel tudi se kar lepo izhodisce vendar je bila tekma odpovedana zaradi nevihte ki se je blizala.,1421,3.2,nimbus
Strmca,1,"",20,-nan,null,null,"1998-06-30",Do skarajnega desnega hriba in nazaj pristat na vrhu.,null,null,nimbus
Gaber,1,"",49,-nan,null,null,"1998-07-01",Jadranje v zacetku celo termika. Samo jaz sem pobral na 920m,923,2.5,nimbus
RacnaGora,1,"",54,-nan,null,null,"1998-07-03",Prvic curjenje v navidez dobrih pogojih scurili smo vsi tudi Juri. Drugic pa je slo na 2200.,2211,5.3,nimbus
Zabocev,1,"",62,-nan,null,null,"1998-07-04",Jadranje okoli krimscka.,null,2,nimbus
PenaNegra,1,"",153,-nan,null,null,"1998-07-06",Prvi dan v spaniji ravninsko jadranje precej mocan veter pogosti stbri. Obratna tocka bazen od kampa. Letenje proti vetru.,2524,4.7,nimbus
PenaNegra,1,"",268,47000,null,null,"1998-07-07",Drugi dan v spaniji. Letenje proti Avili v veter poizkus out and return. Zelo nizko pobiranje iz podna.,2666,6.1,nimbus
PenaNEgra,1,"",300,95000,null,null,"1998-07-08",Mocan celni veter do krizisca pred avilo in nazaj proti vetru 4ure nazaj 1ura.,3247,5.1,nimbus
PenaNegra,1,"",161,-nan,null,null,"1998-07-09",Izte razmere malinjene okoli starta in nad ravnino.,3503,5.9,nimbus
PenaNegra,1,"",183,50000,null,null,"1998-07-10",Dirka z reprezentanco bil sem cetrti od 11 tih Prisel v cilj. Med letom imel hudo zapiranje ko sem padalo sestavu sem imel strganega.,3416,5,nimbus
PenaNegra,1,"",33,-nan,null,null,"1998-07-12",Letel s cultom vse me je motilo. Mocan veter. Prejsni dan FN Flig Niht ker je Jerry skril kluc od kombija. Za nagrado je zvecer letel v vodo oblecen.,2214,4.1,Cult
PenaNegra,1,"",214,-nan,null,null,"1998-07-13",Letenje levo od starta nazaj na 04 potem do elbarko de avilja in nazaj proti piedrahiti. Nazaj s slavcem nisva sla ceprav bi slo. Sli smo na izlet.,2521,5.6,nimbus
PenaNEgra,1,"",210,55000,null,null,"1998-07-14",Do pred avilje samo Jernej je letel cez mene.,3012,4.6,nimbus
PenaNegra,1,"",212,59000,null,null,"1998-07-15",Ep disciplina Avila in nazaj isto sem pozkusil sam scuru pred avilo. Marko malovrh imel nesreco. Scuka Peter preletel v MAdrid.,3275,5.6,nimbus
PenaNegra,1,"",180,52000,null,null,"1998-07-16",Dirka odpovedana zaradi Markove smrti. rvic baze in se na 4000m super pogoji ki jih jaz nisem izkoristu. Pristanek Avila Erzo do vila kastin.,4005,5.1,nimbus
PenaNegra,1,"",15,-nan,null,null,"1998-07-17",Let v dolino zaradi nevihte dirka odpovedana. Suso scuru a imel sreco da je dirka odpadla. Od tega dne sta bila se dva slaba dneva v katerih nismo nic leteli. Pac pa sem na zakljucni dan spoznal punco Gabrijelo Gabi iz Avstrije.,null,2.1,nimbus
Zavrh,1,"",90,-nan,null,null,"1998-07-23",Z Slavcem sva jadrala na zavrhu in na dolu ni slo visoko bila je svoh termika in zanesena.,1100,2,nimbus
Zavrh,1,"",45,-nan,null,null,"1998-07-23",Po pristanku na vrhniki pa se enkrat z zalaznikom jaz in Slavc sva pristala na vrhu.,1200,2,nimbus
